,Quarter,Tm,Detail,MIN,CHI
0,2.0,Bears,Red Grange 25 yard pass from Laurie Walquist (Laurie Walquist kick),0,7
1,2.0,Bears,Red Grange 14 yard rush,0,13
2,3.0,Red Jackets,Art Pharmer 2 yard rush (Art Pharmer kick),7,13
3,3.0,Bears,Bill Senn 62 yard rush (Joey Sternaman kick),7,20
