,Quarter,Tm,Detail,RAM,CRD
0,1.0,Rams,Bob Snyder 15 yard field goal,3,0
1,1.0,Cardinals,Pat Coffee 73 yard rush (Frank Patrick kick),3,7
2,2.0,Cardinals,Gaynell Tinsley 98 yard pass from Doug Russell (Frank Patrick kick),3,14
3,2.0,Rams,Jim Benton 4 yard fumble return (Corby Davis kick),10,14
4,3.0,Cardinals,Frank Patrick 40 yard field goal,10,17
5,3.0,Cardinals,Phil Dougherty 26 yard interception return (Frank Patrick kick),10,24
6,3.0,Cardinals,Pat Coffee 8 yard rush (Frank Patrick kick),10,31
7,4.0,Rams,Johnny Drake 3 yard rush (Dick Zoll kick),17,31
