,Quarter,Tm,Detail,NYG,NYJ
0,2.0,Giants,Rob Carpenter 1 yard rush (Ali Haji-Sheikh kick),7,0
1,2.0,Giants,Ali Haji-Sheikh 48 yard field goal,10,0
2,3.0,Giants,Joe Morris 8 yard rush (Ali Haji-Sheikh kick),17,0
3,3.0,Jets,Pat Leahy 43 yard field goal,17,3
4,4.0,Giants,Ali Haji-Sheikh 30 yard field goal,20,3
5,4.0,Jets,Lam Jones 32 yard pass from Ken O'Brien (Pat Leahy kick),20,10
