,Quarter,Tm,Detail,BUF,ATL
0,1.0,Bills,Jim Braxton 1 yard rush (John Leypoldt kick),7,0
1,2.0,Falcons,Nick Mike-Mayer 26 yard field goal,7,3
2,2.0,Falcons,Nick Mike-Mayer 16 yard field goal,7,6
3,2.0,Bills,John Leypoldt 20 yard field goal,10,6
4,3.0,Bills,Jim Braxton 1 yard rush (John Leypoldt kick),17,6
