,Quarter,Tm,Detail,DET,CHI
0,2,Bears,Ray McLean 33 yard pass from Charlie O'Rourke,0,6
1,3,Bears,Harry Clarke 26 yard pass from Sid Luckman (Lee Artoe kick),0,13
2,4,Bears,Frank Maznicki 16 yard field goal,0,16
