,Quarter,Tm,Detail,WAS,PHI
0,1.0,Eagles,Paul McFadden 43 yard field goal,0,3
1,2.0,Redskins,Clint Didier 3 yard pass from Joe Theismann (Mark Moseley kick),7,3
2,2.0,Eagles,Paul McFadden 34 yard field goal,7,6
3,3.0,Eagles,Paul McFadden 41 yard field goal,7,9
4,3.0,Redskins,Mark Moseley 33 yard field goal,10,9
5,3.0,Eagles,Andre Waters 89 yard kickoff return (Paul McFadden kick),10,16
