,Quarter,Tm,Detail,NWE,CHI
0,1.0,Bears,Dennis McKinnon 32 yard pass from Jim McMahon (Kevin Butler kick),0,7
1,2.0,Bears,Kevin Butler 21 yard field goal,0,10
2,3.0,Bears,Matt Suhey 1 yard rush (Kevin Butler kick),0,17
3,3.0,Bears,Kevin Butler 28 yard field goal,0,20
4,4.0,Patriots,Craig James 90 yard pass from Tony Eason (Tony Franklin kick),7,20
