,Quarter,Tm,Detail,PHI,CLE
0,1.0,Browns,Roger Shoals special teams fumble recovery in end zone (Lou Groza kick),0,7
1,1.0,Eagles,Sam Baker 14 yard field goal,3,7
2,2.0,Browns,Sid Williams special teams fumble recovery in end zone (Lou Groza kick),3,14
3,2.0,Browns,Jim Houston 42 yard interception return (Lou Groza kick),3,21
4,3.0,Browns,Lou Groza 37 yard field goal,3,24
5,3.0,Eagles,Timmy Brown 20 yard rush (Sam Baker kick),10,24
6,3.0,Browns,Johnny Brewer 24 yard pass from Frank Ryan (Lou Groza kick),10,31
7,4.0,Eagles,Ron Goodwin 19 yard pass from Norm Snead (Sam Baker kick),17,31
8,4.0,Browns,Johnny Brewer 13 yard pass from Frank Ryan (Lou Groza kick),17,38
9,4.0,Eagles,Pete Retzlaff 32 yard pass from Norm Snead (Sam Baker kick),24,38
