,Quarter,Time,Tm,Detail,CHI,NOR
0,1.0,7:53,Saints,John Carney 50 yard field goal,0,3
1,2.0,7:35,Bears,Paul Edinger 28 yard field goal,3,3
2,2.0,0:00,Saints,John Carney 30 yard field goal,3,6
3,3.0,12:01,Saints,Ernie Conwell 9 yard pass from Aaron Brooks (John Carney kick),3,13
4,4.0,13:18,Bears,Paul Edinger 31 yard field goal,6,13
5,4.0,7:18,Saints,Joe Horn 6 yard pass from Aaron Brooks (John Carney kick),6,20
6,4.0,2:10,Bears,Dez White 4 yard pass from Kordell Stewart (Paul Edinger kick),13,20
