,Quarter,Tm,Detail,CIN,GNB
0,1.0,Packers,Lou Michaels 15 yard field goal,0,3
1,2.0,Packers,Donny Anderson 4 yard rush (Lou Michaels kick),0,10
2,3.0,Bengals,Horst Muhlmann 26 yard field goal,3,10
3,3.0,Bengals,Lemar Parrish 65 yard interception return (Horst Muhlmann kick),10,10
4,4.0,Packers,Rich McGeorge 19 yard pass from Scott Hunter (Lou Michaels kick),10,17
5,4.0,Packers,Lou Michaels 14 yard field goal,10,20
6,4.0,Bengals,Eric Crabtree 5 yard pass from Ken Anderson (Horst Muhlmann kick),17,20
