,Quarter,Tm,Detail,ATL,NOR
0,1.0,Saints,Ernie Jackson 85 yard defensive fumble return (Charlie Durkee kick),0,7
1,1.0,Saints,Archie Manning 3 yard rush (Charlie Durkee kick),0,14
2,1.0,Falcons,Jim Mitchell 10 yard pass from Bob Berry (Bill Bell kick),7,14
3,3.0,Falcons,Jim Mitchell 5 yard pass from Bob Berry (Bill Bell kick),14,14
4,4.0,Falcons,Ken Burrow 23 yard pass from Bob Berry (Bill Bell kick),21,14
