,Quarter,Tm,Detail,BUF,MIA
0,1.0,Dolphins,Larry Csonka 12 yard rush (Garo Yepremian kick),0,7
1,2.0,Dolphins,Paul Warfield 3 yard pass from Bob Griese (Garo Yepremian kick),0,14
2,3.0,Dolphins,Jim Mandich 10 yard pass from Bob Griese (Garo Yepremian kick),0,21
3,4.0,Dolphins,Mercury Morris 45 yard rush (Garo Yepremian kick),0,28
4,4.0,Dolphins,Garo Yepremian 38 yard field goal,0,31
5,4.0,Dolphins,Garo Yepremian 24 yard field goal,0,34
