,Quarter,Tm,Detail,DAL,DET
0,1.0,Cowboys,Toni Fritsch 21 yard field goal,3,0
1,2.0,Cowboys,Toni Fritsch 29 yard field goal,6,0
2,2.0,Lions,Errol Mann 21 yard field goal,6,3
3,2.0,Cowboys,Toni Fritsch 39 yard field goal,9,3
4,3.0,Lions,Dexter Bussey 7 yard pass from Greg Landry (Errol Mann kick),9,10
5,3.0,Cowboys,Charley Young 1 yard rush,15,10
6,4.0,Cowboys,Charley Young 42 yard pass from Roger Staubach (Toni Fritsch kick),22,10
7,4.0,Cowboys,Drew Pearson 46 yard pass from Robert Newhouse (Toni Fritsch kick),29,10
8,4.0,Cowboys,Drew Pearson 37 yard pass from Roger Staubach (Toni Fritsch kick),36,10
