,Quarter,Time,Tm,Detail,CLE,CIN
0,1.0,13:39,Browns,Damion Ratley 46 yard pass from Baker Mayfield (Austin Seibert kick),7,0
1,1.0,9:56,Bengals,C.J. Uzomah 15 yard pass from Andy Dalton (Randy Bullock kick),7,7
2,1.0,4:48,Bengals,Joe Mixon 3 yard rush (Randy Bullock kick failed),7,13
3,2.0,10:15,Bengals,Andy Dalton 5 yard rush (Randy Bullock kick),7,20
4,2.0,6:58,Browns,Austin Seibert 42 yard field goal,10,20
5,2.0,2:00,Browns,Jarvis Landry 56 yard pass from Baker Mayfield (Austin Seibert kick failed),16,20
6,3.0,9:09,Bengals,Randy Bullock 47 yard field goal,16,23
7,4.0,14:19,Bengals,Joe Mixon 2 yard rush (Randy Bullock kick),16,30
8,4.0,7:23,Browns,Odell Beckham Jr. 20 yard pass from Baker Mayfield (Austin Seibert kick),23,30
9,4.0,2:00,Bengals,Randy Bullock 46 yard field goal,23,33
