,Quarter,Tm,Detail,WAS,DEN
0,1.0,Redskins,Curt Knight 37 yard field goal,3,0
1,2.0,Redskins,Curt Knight 44 yard field goal,6,0
2,2.0,Redskins,Jerry Smith 17 yard pass from Sonny Jurgensen (Curt Knight kick),13,0
3,4.0,Broncos,Bobby Howfield 36 yard field goal,13,3
4,4.0,Redskins,Jerry Smith 11 yard pass from Sonny Jurgensen,19,3
