,Quarter,Tm,Detail,DAL,ATL
0,1.0,Cowboys,Les Shy 1 yard rush (Mike Clark kick),7,0
1,1.0,Cowboys,Walt Garrison 1 yard rush (Mike Clark kick),14,0
2,1.0,Falcons,Bob Etter 34 yard field goal,14,3
3,2.0,Cowboys,Mike Clark 47 yard field goal,17,3
4,3.0,Falcons,Paul Flatley 13 yard pass from Randy Johnson (Bob Etter kick),17,10
5,3.0,Cowboys,Lance Rentzel 8 yard pass from Craig Morton (Mike Clark kick),24,10
6,4.0,Falcons,Junior Coffey 13 yard pass from Randy Johnson (Bob Etter kick),24,17
