,Quarter,Time,Tm,Detail,PHI,PIT
0,2.0,5:01,Steelers,Rashard Mendenhall 13 yard pass from Ben Roethlisberger (Shaun Suisham kick),0,7
1,2.0,0:06,Steelers,Shaun Suisham 20 yard field goal,0,10
2,3.0,6:32,Eagles,LeSean McCoy 15 yard pass from Michael Vick (Alex Henery kick),7,10
3,4.0,14:51,Steelers,Shaun Suisham 34 yard field goal,7,13
4,4.0,6:33,Eagles,Brent Celek 2 yard pass from Michael Vick (Alex Henery kick),14,13
5,4.0,0:00,Steelers,Shaun Suisham 34 yard field goal,14,16
