,Quarter,Time,Tm,Detail,SFO,NYG
0,1.0,9:48,49ers,Robbie Gould 52 yard field goal,3,0
1,1.0,1:06,49ers,Robbie Gould 32 yard field goal,6,0
2,2.0,13:35,Giants,Graham Gano 52 yard field goal,6,3
3,2.0,7:30,Giants,Graham Gano 42 yard field goal,6,6
4,2.0,1:13,49ers,Jerick McKinnon 10 yard rush (Robbie Gould kick),13,6
5,2.0,0:06,49ers,Robbie Gould 26 yard field goal,16,6
6,3.0,8:11,Giants,Graham Gano 47 yard field goal,16,9
7,3.0,3:22,49ers,Brandon Aiyuk 19 yard rush (Robbie Gould kick),23,9
8,4.0,13:36,49ers,Jeff Wilson 19 yard pass from Nick Mullens (pass failed),29,9
9,4.0,3:38,49ers,Jeff Wilson 2 yard rush (Robbie Gould kick),36,9
