,Quarter,Tm,Detail,DET,BAL
0,1.0,Lions,Don McIlhenny 11 yard pass from Bobby Layne (Bobby Layne kick),7,0
1,1.0,Lions,Dorne Dibble 56 yard pass from Bobby Layne (Bobby Layne kick),14,0
2,1.0,Colts,L.G. Dupre 3 yard rush (Bert Rechichar kick),14,7
3,2.0,Lions,Bobby Layne 7 yard rush (Bobby Layne kick),21,7
4,3.0,Colts,L.G. Dupre 49 yard pass from George Shaw (Bert Rechichar kick),21,14
5,4.0,Lions,Gene Gedman 1 yard rush (Bobby Layne kick),28,14
6,4.0,Lions,Jim Martin 36 yard field goal,31,14
