,Quarter,Time,Tm,Detail,ATL,STL
0,1.0,10:03,Rams,Jeff Wilkins 24 yard field goal,0,3
1,1.0,0:48,Rams,Ricky Proehl 12 yard pass from Kurt Warner (Jeff Wilkins kick),0,10
2,2.0,10:03,Falcons,Jay Feely 49 yard field goal,3,10
3,2.0,5:16,Rams,Ernie Conwell 15 yard pass from Kurt Warner (Jeff Wilkins kick),3,17
4,2.0,0:15,Falcons,Jay Feely 33 yard field goal,6,17
5,3.0,3:23,Rams,Marshall Faulk 3 yard rush (Jeff Wilkins kick),6,24
6,3.0,3:07,Falcons,Darrick Vaughn 96 yard kickoff return (Jay Feely kick),13,24
7,3.0,0:07,Rams,Ricky Proehl 8 yard pass from Kurt Warner (Jeff Wilkins kick),13,31
