,Quarter,Tm,Detail,SDG,NYJ
0,1.0,Jets,John Riggins 4 yard pass from Joe Namath (Pat Leahy kick),0,7
1,1.0,Jets,Pat Leahy 20 yard field goal,0,10
2,2.0,Jets,John Riggins 3 yard rush (Pat Leahy kick),0,17
3,2.0,Jets,John Riggins 2 yard rush (Pat Leahy kick),0,24
4,3.0,Jets,Pat Leahy 45 yard field goal,0,27
5,4.0,Chargers,Gary Garrison 28 yard pass from Don Woods (Dennis Partee kick),7,27
6,4.0,Chargers,Don Woods 4 yard rush (Dennis Partee kick),14,27
