,Quarter,Tm,Detail,STL,WAS
0,1.0,Redskins,Mark Moseley 47 yard field goal,0,3
1,2.0,Cardinals,Jim Bakken 47 yard field goal,3,3
2,2.0,Redskins,Mike Thomas 2 yard rush (Mark Moseley kick),3,10
3,3.0,Cardinals,Terry Metcalf 93 yard kickoff return (Jim Bakken kick),10,10
4,3.0,Redskins,John Pergine 30 yard pass from Joe Theismann (Mark Moseley kick),10,17
5,3.0,Cardinals,Mel Gray 48 yard pass from Jim Hart (Jim Bakken kick),17,17
6,4.0,Redskins,Mike Thomas 1 yard rush (Mark Moseley kick),17,24
7,4.0,Redskins,Mark Moseley 34 yard field goal,17,27
