,Quarter,Tm,Detail,NYG,CHI
0,1.0,Bears,Ken Kavanaugh 14 yard pass from Johnny Lujack (Johnny Lujack kick),0,7
1,2.0,Bears,Noah Mullins 74 yard rush (Johnny Lujack kick),0,14
2,3.0,Bears,George McAfee 16 yard rush (Johnny Lujack kick),0,21
3,3.0,Bears,George McAfee 25 yard pass from Sid Luckman (Johnny Lujack kick),0,28
4,4.0,Bears,George McAfee 1 yard rush (Johnny Lujack kick),0,35
5,4.0,Giants,Bill Swiacki 13 yard pass from Charlie Conerly (Len Younce kick),7,35
6,4.0,Giants,Bill Swiacki 15 yard pass from Charlie Conerly (Len Younce kick),14,35
