,Quarter,Time,Tm,Detail,IND,CIN
0,1.0,9:19,Bengals,A.J. Green 11 yard pass from Andy Dalton (Mike Nugent kick),0,7
1,2.0,11:14,Colts,Donald Brown 18 yard rush (Adam Vinatieri kick),7,7
2,2.0,0:00,Bengals,Mike Nugent 20 yard field goal,7,10
3,3.0,10:27,Bengals,Cedric Benson 1 yard rush (Mike Nugent kick),7,17
4,3.0,2:20,Bengals,Mike Nugent 43 yard field goal,7,20
5,4.0,14:56,Colts,Adam Vinatieri 46 yard field goal,10,20
6,4.0,9:33,Colts,Dallas Clark 1 yard pass from Curtis Painter (Adam Vinatieri kick),17,20
7,4.0,2:22,Bengals,Carlos Dunlap 35 yard defensive fumble return (Mike Nugent kick),17,27
