,Quarter,Tm,Detail,CRD,PHI
0,1.0,Eagles,Walt Kowalczyk 1 yard rush (Bobby Walston kick),0,7
1,2.0,Cardinals,Joe Childress 10 yard pass from Lamar McHan (Bobby Joe Conrad kick),7,7
2,2.0,Eagles,Clarence Peaks 33 yard pass from Norm Van Brocklin (Bobby Walston kick),7,14
3,2.0,Eagles,Clarence Peaks 1 yard rush (Bobby Walston kick),7,21
4,2.0,Eagles,Clarence Peaks 2 yard rush (Bobby Walston kick),7,28
5,2.0,Cardinals,Mal Hammack 1 yard rush (Bobby Joe Conrad kick),14,28
6,3.0,Eagles,Tommy McDonald 47 yard pass from Norm Van Brocklin (Bobby Walston kick),14,35
7,3.0,Eagles,Clarence Peaks 1 yard rush (Bobby Walston kick),14,42
8,4.0,Eagles,Bobby Walston 71 yard pass from Billy Ray Barnes (Bobby Walston kick),14,49
9,4.0,Cardinals,Woodley Lewis 12 yard pass from M.C. Reynolds (Bobby Joe Conrad kick),21,49
