,Quarter,Time,Tm,Detail,IND,MIN
0,1.0,9:01,Colts,Adam Vinatieri 48 yard field goal,3,0
1,1.0,2:22,Colts,Robert Turbin 1 yard rush (Adam Vinatieri kick),10,0
2,2.0,7:16,Colts,Erik Swoope 27 yard pass from Andrew Luck (Adam Vinatieri kick),17,0
3,2.0,0:33,Colts,Robert Turbin 6 yard rush (Adam Vinatieri kick),24,0
4,2.0,0:00,Colts,Adam Vinatieri 50 yard field goal,27,0
5,3.0,3:51,Vikings,Kai Forbath 32 yard field goal,27,3
6,4.0,14:55,Colts,Phillip Dorsett 50 yard pass from Andrew Luck (Adam Vinatieri kick),34,3
7,4.0,11:57,Vikings,Kai Forbath 51 yard field goal,34,6
