,Quarter,Time,Tm,Detail,NYJ,PHI
0,1.0,9:20,Jets,Doug Brien 30 yard field goal,3,0
1,1.0,5:30,Eagles,Correll Buckhalter 6 yard rush (David Akers kick),3,7
2,1.0,3:25,Jets,Santana Moss 60 yard pass from Vinny Testaverde (Doug Brien kick),10,7
3,2.0,11:36,Eagles,Correll Buckhalter 7 yard rush (David Akers kick),10,14
4,3.0,0:04,Jets,LaMont Jordan 4 yard rush (Doug Brien kick),17,14
5,4.0,6:42,Eagles,Jon Ritchie 4 yard pass from Donovan McNabb (David Akers kick),17,21
6,4.0,1:12,Eagles,David Akers 30 yard field goal,17,24
