,Quarter,Tm,Detail,MIN,NYG
0,1.0,Giants,David Treadwell 26 yard field goal,0,3
1,2.0,Vikings,Cris Carter 40 yard pass from Jim McMahon (Fuad Reveiz kick),7,3
2,2.0,Vikings,Fuad Reveiz 52 yard field goal,10,3
3,3.0,Giants,Rodney Hampton 51 yard rush (David Treadwell kick),10,10
4,3.0,Giants,Rodney Hampton 2 yard rush (David Treadwell run),10,17
