,Quarter,Tm,Detail,SDG,MIN
0,1.0,Vikings,Rickey Young 10 yard pass from Fran Tarkenton (Rick Danmeier kick),0,7
1,1.0,Chargers,Hank Bauer 2 yard rush (Rolf Benirschke kick),7,7
2,3.0,Chargers,John Jefferson 10 yard pass from Dan Fouts,13,7
