,Quarter,Tm,Detail,BUF,HOU
0,1,Bills,Scott Norwood 43 yard field goal,3,0
1,1,Oilers,Warren Moon 1 yard rush (Tony Zendejas kick),3,7
2,1,Bills,Thurman Thomas 6 yard pass from Jim Kelly (Scott Norwood kick),10,7
3,2,Bills,Scott Norwood 26 yard field goal,13,7
4,2,Oilers,Tony Zendejas 26 yard field goal,13,10
5,2,Bills,Mark Kelso 76 yard blocked field goal return (Scott Norwood kick),20,10
6,3,Bills,Don Beebe 63 yard pass from Jim Kelly (Scott Norwood kick),27,10
7,3,Oilers,Alonzo Highsmith 4 yard rush (Tony Zendejas kick),27,17
8,3,Oilers,Cris Dishman 7 yard blocked punt return (Tony Zendejas kick),27,24
9,4,Bills,Andre Reed 78 yard pass from Jim Kelly (Scott Norwood kick),34,24
10,4,Oilers,Ernest Givins 26 yard pass from Warren Moon (Tony Zendejas kick),34,31
11,4,Oilers,Lorenzo White 1 yard rush (Tony Zendejas kick),34,38
12,4,Bills,Thurman Thomas 26 yard pass from Jim Kelly (Scott Norwood kick),41,38
13,4,Oilers,Tony Zendejas 52 yard field goal,41,41
14,OT,Bills,Andre Reed 28 yard pass from Jim Kelly,47,41
