,Quarter,Time,Tm,Detail,NWE,TEN
0,1.0,11:29,Titans,Jonnu Smith 4 yard pass from Marcus Mariota (Ryan Succop kick),0,7
1,1.0,9:19,Patriots,Stephen Gostkowski 52 yard field goal,3,7
2,1.0,5:58,Titans,Corey Davis 23 yard pass from Marcus Mariota (Ryan Succop kick),3,14
3,1.0,2:35,Titans,Ryan Succop 33 yard field goal,3,17
4,2.0,12:49,Patriots,James Develin 1 yard rush (Stephen Gostkowski kick),10,17
5,2.0,1:09,Titans,Derrick Henry 1 yard rush (Ryan Succop kick),10,24
6,3.0,4:15,Titans,Ryan Succop 31 yard field goal,10,27
7,4.0,7:13,Titans,Derrick Henry 10 yard rush (Ryan Succop kick),10,34
