,Quarter,Time,Tm,Detail,SFO,SEA
0,1.0,7:41,49ers,Robbie Gould 47 yard field goal,3,0
1,1.0,0:32,49ers,Deebo Samuel 30 yard rush (Robbie Gould kick),10,0
2,2.0,5:49,49ers,Robbie Gould 30 yard field goal,13,0
3,3.0,5:53,Seahawks,Tyler Lockett 14 yard pass from Russell Wilson (Jason Myers kick),13,7
4,3.0,3:28,49ers,Raheem Mostert 2 yard rush (pass failed),19,7
5,4.0,9:59,Seahawks,Marshawn Lynch 1 yard rush (Jason Myers kick),19,14
6,4.0,5:55,49ers,Raheem Mostert 13 yard rush (Robbie Gould kick),26,14
7,4.0,3:40,Seahawks,D.K. Metcalf 14 yard pass from Russell Wilson (Jason Myers kick),26,21
