,Quarter,Tm,Detail,RAM,NYG
0,1.0,Rams,Chuck Nelson 36 yard field goal,3,0
1,2.0,Giants,Rob Carpenter 4 yard rush,3,6
2,2.0,Rams,Mike Barber 8 yard pass from Vince Ferragamo (Chuck Nelson kick),10,6
3,3.0,Rams,Mike Barber 42 yard pass from Vince Ferragamo,16,6
