,Quarter,Tm,Detail,BOS,BKN
0,1.0,Dodgers,Ralph Kercheval 32 yard field goal,0,3
1,1.0,Redskins,Cliff Battles 68 yard rush,7,3
2,3.0,Redskins,Larry Siemering 20 yard blocked punt return,14,3
