,Quarter,Tm,Detail,NYJ,MIA
0,1.0,Jets,Pat Leahy 33 yard field goal,3,0
1,1.0,Dolphins,Mark Clayton 45 yard pass from Dan Marino (Tony Franklin kick),3,7
2,1.0,Jets,Pat Leahy 38 yard field goal,6,7
3,2.0,Dolphins,Tony Franklin 36 yard field goal,6,10
4,2.0,Jets,Wesley Walker 35 yard pass from Ken O'Brien (Pat Leahy kick),13,10
5,2.0,Jets,Erik McMillan 55 yard interception return (Pat Leahy kick),20,10
6,2.0,Jets,Pat Leahy 28 yard field goal,23,10
7,2.0,Jets,Al Toon 6 yard pass from Ken O'Brien (Pat Leahy kick),30,10
8,3.0,Dolphins,Mark Clayton 11 yard pass from Dan Marino (Tony Franklin kick),30,17
9,3.0,Jets,Kurt Sohn 13 yard pass from Ken O'Brien (Pat Leahy kick),37,17
10,3.0,Dolphins,Jim Jensen 2 yard pass from Dan Marino,37,23
11,4.0,Dolphins,Troy Stradford 1 yard rush (Tony Franklin kick),37,30
12,4.0,Jets,Johnny Hector 1 yard rush (Pat Leahy kick),44,30
