,Quarter,Tm,Detail,KAN,PIT
0,1.0,Steelers,Lynn Swann 9 yard pass from Terry Bradshaw (Matt Bahr kick),0,7
1,2.0,Chiefs,Nick Lowery 36 yard field goal,3,7
2,3.0,Chiefs,James Hadnot 3 yard rush (Nick Lowery kick),10,7
3,3.0,Chiefs,Nick Lowery 22 yard field goal,13,7
4,3.0,Chiefs,Nick Lowery 50 yard field goal,16,7
5,4.0,Steelers,Theo Bell 13 yard pass from Terry Bradshaw (Matt Bahr kick),16,14
6,4.0,Steelers,Rocky Bleier 11 yard rush (Matt Bahr kick),16,21
