,Quarter,Tm,Detail,CHI,RAM
0,2.0,Rams,Lou Zontini 39 yard field goal,0,3
1,2.0,Bears,Abe Croft 67 yard pass from Gene Ronzani (Pete Gudauskas kick),7,3
2,2.0,Rams,Lou Zontini 6 yard rush (Walter West kick),7,10
3,3.0,Rams,Jim Benton 23 yard fumble return,7,16
4,4.0,Rams,Tom Colella 20 yard field goal,7,19
