,Quarter,Tm,Detail,SFO,NOR
0,1,49ers,Mike Cofer 32 yard field goal,3,0
1,2,Saints,Eric Martin 8 yard pass from Steve Walsh (Morten Andersen kick),3,7
2,3,Saints,Morten Andersen 21 yard field goal,3,10
