,Quarter,Tm,Detail,RAM,NOR
0,2.0,Saints,Skip Butler 32 yard field goal,0,3
1,2.0,Rams,David Ray 31 yard field goal,3,3
2,3.0,Saints,Dave Parks 6 yard pass from Archie Manning (Skip Butler kick),3,10
3,3.0,Saints,Bob Gresham 2 yard rush (Skip Butler kick),3,17
4,3.0,Rams,David Ray 27 yard field goal,6,17
5,4.0,Rams,Les Josephson 29 yard pass from Roman Gabriel (David Ray kick),13,17
6,4.0,Rams,Les Josephson 1 yard rush (David Ray kick),20,17
7,4.0,Saints,Archie Manning 1 yard rush (Skip Butler kick),20,24
