,Quarter,Time,Tm,Detail,GNB,SFO
0,1.0,10:14,Packers,Ryan Longwell 23 yard field goal,3,0
1,1.0,5:01,49ers,Greg Clark 1 yard pass from Steve Young (Wade Richey kick),3,7
2,2.0,5:01,Packers,Antonio Freeman 2 yard pass from Brett Favre (Ryan Longwell kick),10,7
3,2.0,7:45,49ers,Wade Richey 34 yard field goal,10,10
4,2.0,0:36,Packers,Dorsey Levens 2 yard rush (Ryan Longwell kick),17,10
5,3.0,9:53,49ers,Greg Clark 8 yard pass from Steve Young (Wade Richey kick),17,17
6,3.0,2:56,49ers,Wade Richey 48 yard field goal,17,20
7,4.0,12:33,Packers,Ryan Longwell 37 yard field goal,20,20
8,4.0,7:08,49ers,Wade Richey 40 yard field goal,20,23
9,4.0,2:00,Packers,Antonio Freeman 15 yard pass from Brett Favre (Ryan Longwell kick),27,23
10,4.0,0:08,49ers,Terrell Owens 25 yard pass from Steve Young (Wade Richey kick),27,30
