,Quarter,Tm,Detail,SFO,BAL
0,1.0,Colts,Lou Michaels 35 yard field goal,0,3
1,1.0,Colts,Lenny Moore 3 yard rush (Lou Michaels kick),0,10
2,2.0,Colts,Bobby Boyd 17 yard interception return (Lou Michaels kick),0,17
3,2.0,49ers,Dave Parks 53 yard pass from John Brodie (Tommy Davis kick),7,17
4,2.0,Colts,Lenny Moore 1 yard pass from Johnny Unitas (Lou Michaels kick),7,24
5,3.0,49ers,Dave Parks 45 yard pass from John David Crow (Tommy Davis kick),14,24
6,4.0,49ers,Tommy Davis 22 yard field goal,17,24
7,4.0,Colts,Lou Michaels 36 yard field goal,17,27
8,4.0,49ers,Dave Parks 46 yard pass from John Brodie (Tommy Davis kick),24,27
