,Quarter,Tm,Detail,ATL,NOR
0,1.0,Falcons,Mick Luckhurst 25 yard field goal,3,0
1,1.0,Falcons,Wallace Francis 8 yard rush (Mick Luckhurst kick),10,0
2,2.0,Saints,Benny Ricardo 28 yard field goal,10,3
3,2.0,Saints,Guido Merkens 46 yard pass from Archie Manning (Benny Ricardo kick),10,10
4,2.0,Falcons,Alfred Jenkins 48 yard pass from Steve Bartkowski (Mick Luckhurst kick),17,10
5,2.0,Falcons,William Andrews 1 yard rush (Mick Luckhurst kick),24,10
6,3.0,Falcons,Alfred Jenkins 60 yard pass from Steve Bartkowski (Mick Luckhurst kick),31,10
7,3.0,Falcons,Mick Luckhurst 22 yard field goal,34,10
8,4.0,Falcons,Alfred Jenkins 47 yard pass from Steve Bartkowski (Mick Luckhurst kick),41,10
