,Quarter,Time,Tm,Detail,NOR,CHI
0,1.0,13:37,Saints,"Safety, Pat O'Donnell Illegal Bat in end zone",2,0
1,1.0,3:19,Saints,Josh Hill 7 yard pass from Teddy Bridgewater (Wil Lutz kick),9,0
2,1.0,3:14,Bears,Cordarrelle Patterson 102 yard kickoff return (Eddy Pineiro kick),9,7
3,2.0,11:38,Bears,Eddy Pineiro 46 yard field goal,9,10
4,2.0,6:35,Saints,Wil Lutz 39 yard field goal,12,10
5,3.0,12:04,Saints,Latavius Murray 3 yard rush (Wil Lutz kick),19,10
6,3.0,2:59,Saints,Taysom Hill 4 yard pass from Teddy Bridgewater (Wil Lutz kick),26,10
7,4.0,12:49,Saints,Wil Lutz 30 yard field goal,29,10
8,4.0,4:37,Saints,Latavius Murray 4 yard rush (Wil Lutz kick),36,10
9,4.0,2:36,Bears,Allen Robinson 7 yard pass from Mitchell Trubisky (Adam Shaheen pass from Mitchell Trubisky ),36,18
10,4.0,0:54,Bears,Javon Wims 6 yard pass from Mitchell Trubisky (Eddy Pineiro kick),36,25
