,Quarter,Time,Tm,Detail,JAX,NYJ
0,1.0,6:28,Jaguars,James Stewart 3 yard rush (Mike Hollis kick),7,0
1,2.0,5:27,Jaguars,Mike Hollis 32 yard field goal,10,0
2,2.0,1:38,Jets,John Hall 33 yard field goal,10,3
3,3.0,10:14,Jaguars,Mike Hollis 44 yard field goal,13,3
4,4.0,8:53,Jets,John Hall 42 yard field goal,13,6
5,4.0,1:46,Jaguars,Mike Hollis 21 yard field goal,16,6
