,Quarter,Time,Tm,Detail,TEN,PIT
0,1.0,11:24,Titans,Eddie George 20 yard rush (Al Del Greco kick),7,0
1,1.0,6:50,Steelers,Kris Brown 32 yard field goal,7,3
2,1.0,1:30,Titans,Al Del Greco 24 yard field goal,10,3
3,2.0,10:11,Steelers,Kris Brown 32 yard field goal,10,6
4,3.0,6:12,Titans,Al Del Greco 40 yard field goal,13,6
5,4.0,14:58,Steelers,Kordell Stewart 1 yard rush (Kris Brown kick),13,13
6,4.0,12:42,Titans,Al Del Greco 40 yard field goal,16,13
7,4.0,7:50,Steelers,Jerome Bettis 5 yard rush (Kris Brown kick),16,20
8,4.0,1:25,Titans,Erron Kinney 18 yard pass from Steve McNair (Al Del Greco kick),23,20
