,Quarter,Tm,Detail,NOR,SDG
0,1.0,Saints,Buford Jordan 1 yard pass from Steve Walsh (Morten Andersen kick),7,0
1,1.0,Chargers,Steve Hendrickson 3 yard rush (John Carney kick),7,7
2,2.0,Saints,Frank Warren 37 yard blocked punt return (Morten Andersen kick),14,7
3,2.0,Chargers,Nate Lewis 95 yard kickoff return (John Carney kick),14,14
4,2.0,Saints,Quinn Early 38 yard pass from Steve Walsh (Morten Andersen kick),21,14
5,4.0,Chargers,Marion Butts 5 yard rush (John Carney kick),21,21
6,4.0,Chargers,John Carney 19 yard field goal,21,24
