,Quarter,Tm,Detail,SFO,GNB
0,1,Packers,Don Chandler 41 yard field goal,0,3
1,2,Packers,Donny Anderson 1 yard rush (Don Chandler kick),0,10
2,3,Packers,Don Chandler 26 yard field goal,0,13
