,Quarter,Tm,Detail,PRV,NYY
0,3.0,Yankees,Sam Salemi 20 yard pass from Gibby Welch,0,6
1,4.0,Steam Roller,Wildcat Wilson 2 yard rush,6,6
2,4.0,Steam Roller,Duke Hanny 50 yard interception return,12,6
