,Quarter,Tm,Detail,PRV,NYG
0,1.0,Giants,Hinkey Haines 8 yard rush (Jack McBride kick),0,7
1,4.0,Giants,Hinkey Haines 22 yard rush (Jack McBride kick),0,14
2,4.0,Giants,Jack McBride 1 yard rush (Jack McBride kick),0,21
