,Quarter,Tm,Detail,NOR,HOU
0,2.0,Saints,Jack Holmes 9 yard rush (Benny Ricardo kick),7,0
1,2.0,Oilers,Toni Fritsch 49 yard field goal,7,3
2,2.0,Saints,Benny Ricardo 46 yard field goal,10,3
3,3.0,Oilers,Earl Campbell 1 yard rush (Toni Fritsch kick),10,10
4,3.0,Saints,Jack Holmes 2 yard rush (Benny Ricardo kick),17,10
5,3.0,Saints,Wayne Wilson 22 yard pass from Archie Manning (Benny Ricardo kick),24,10
6,4.0,Oilers,Mike Holston 50 yard pass from Ken Stabler (Toni Fritsch kick),24,17
7,4.0,Saints,Benny Ricardo 42 yard field goal,27,17
8,4.0,Oilers,Earl Campbell 1 yard rush (Toni Fritsch kick),27,24
