,Quarter,Tm,Detail,BAL,DAL
0,2.0,Cowboys,Doug Dennison 1 yard rush (Rafael Septien kick),0,7
1,2.0,Cowboys,Tony Dorsett 91 yard pass from Roger Staubach (Rafael Septien kick),0,14
2,2.0,Cowboys,Billy Joe DuPree 8 yard pass from Roger Staubach (Rafael Septien kick),0,21
3,3.0,Cowboys,Drew Pearson 38 yard pass from Roger Staubach (Rafael Septien kick),0,28
4,3.0,Cowboys,Jay Saldi 1 yard pass from Roger Staubach (Rafael Septien kick),0,35
5,4.0,Cowboys,Rafael Septien 48 yard field goal,0,38
