,Quarter,Tm,Detail,CHI,NYG
0,2.0,Giants,Glenn Campbell 37 yard pass from Benny Friedman (Benny Friedman kick),0,7
1,3.0,Giants,Hap Moran 6 yard pass from Benny Friedman (Benny Friedman kick),0,14
2,3.0,Giants,Hap Moran 15 yard pass from Benny Friedman (Benny Friedman kick),0,21
3,3.0,Giants,Snitz Snyder 20 yard pass from Benny Friedman,0,27
4,4.0,Giants,Tiny Feather 35 yard pass from Hap Moran (Tony Plansky kick),0,34
