,Quarter,Time,Tm,Detail,TEN,CLE
0,1.0,10:18,Browns,Dontrell Hilliard 4 yard rush (Austin Seibert kick failed),0,6
1,1.0,6:36,Titans,Cairo Santos 37 yard field goal,3,6
2,2.0,9:42,Titans,Derrick Henry 1 yard rush (Cairo Santos kick),10,6
3,2.0,1:47,Titans,"Safety, Baker Mayfield sacked in end zone by Cameron Wake",12,6
4,3.0,11:58,Titans,Cairo Santos 53 yard field goal,15,6
5,3.0,2:13,Browns,David Njoku 3 yard pass from Baker Mayfield (Austin Seibert kick),15,13
6,3.0,2:10,Titans,Derrick Henry 75 yard pass from Marcus Mariota (Cairo Santos kick),22,13
7,4.0,12:39,Titans,Delanie Walker 11 yard pass from Marcus Mariota (Cairo Santos kick),29,13
8,4.0,9:09,Titans,Delanie Walker 7 yard pass from Marcus Mariota (Cairo Santos kick),36,13
9,4.0,3:11,Titans,Malcolm Butler 38 yard interception return (Cairo Santos kick),43,13
