,Quarter,Time,Tm,Detail,NYG,CIN
0,1.0,12:34,Bengals,A.J. Green 56 yard pass from Andy Dalton (Mike Nugent kick),0,7
1,1.0,10:53,Bengals,Andrew Hawkins 11 yard pass from Andy Dalton (Mike Nugent kick),0,14
2,1.0,5:34,Giants,Lawrence Tynes 23 yard field goal,3,14
3,2.0,4:17,Bengals,Mike Nugent 28 yard field goal,3,17
4,2.0,0:11,Giants,Lawrence Tynes 31 yard field goal,6,17
5,3.0,6:37,Bengals,Jermaine Gresham 10 yard pass from Andy Dalton (Mike Nugent kick),6,24
6,3.0,4:20,Bengals,Mohamed Sanu 10 yard pass from Andy Dalton (Mike Nugent kick),6,31
7,4.0,2:46,Giants,Andre Brown 2 yard rush (Lawrence Tynes kick),13,31
