,Quarter,Tm,Detail,CLE,NYG
0,1.0,Browns,Chick Jagade 11 yard rush (Lou Groza kick),7,0
1,1.0,Giants,Bill Stribling 17 yard pass from Charlie Conerly (Ray Poole kick),7,7
2,2.0,Browns,Lou Groza 42 yard field goal,10,7
3,2.0,Browns,Lou Groza 35 yard field goal,13,7
4,2.0,Giants,Joe Scott 1 yard rush,13,13
5,3.0,Giants,Kyle Rote 16 yard pass from Charlie Conerly (Ray Poole kick),13,20
6,3.0,Browns,Dante Lavelli unknown yard pass from Otto Graham (Bob Gain kick),20,20
7,3.0,Giants,Joe Scott 31 yard pass from Charlie Conerly (Ray Poole kick),20,27
8,3.0,Giants,Bob Wilkinson 22 yard pass from Charlie Conerly (Ray Poole kick),20,34
9,4.0,Browns,Chick Jagade 47 yard pass from Otto Graham (Bob Gain kick),27,34
10,4.0,Giants,Ray Poole 15 yard field goal,27,37
11,4.0,Browns,Ken Carpenter 5 yard rush (Bob Gain kick),34,37
