,Quarter,Tm,Detail,BUF,MIA
0,1.0,Dolphins,Pete Stoyanovich 33 yard field goal,0,3
1,1.0,Bills,Thurman Thomas 10 yard pass from Jim Kelly (Scott Norwood kick),7,3
2,1.0,Bills,Scott Norwood 42 yard field goal,10,3
3,2.0,Dolphins,Sammie Smith 1 yard rush (Pete Stoyanovich kick),10,10
4,2.0,Bills,Cornelius Bennett 6 yard defensive fumble return (Scott Norwood kick),17,10
5,2.0,Bills,Scott Norwood 21 yard field goal,20,10
6,2.0,Dolphins,Pete Stoyanovich 28 yard field goal,20,13
7,3.0,Bills,Andre Reed 5 yard pass from Jim Kelly (Scott Norwood kick),27,13
8,3.0,Bills,Thurman Thomas 1 yard rush (Scott Norwood kick),34,13
9,3.0,Dolphins,Greg Baty 1 yard pass from Dan Marino (Pete Stoyanovich kick),34,20
10,4.0,Bills,Andre Reed 23 yard pass from Jim Kelly (Scott Norwood kick),41,20
11,4.0,Dolphins,Tony Martin 8 yard pass from Dan Marino (Pete Stoyanovich kick),41,27
