,Quarter,Time,Tm,Detail,NOR,CHI
0,2.0,,Saints,Quinn Early 18 yard pass from Jim Everett (Morten Andersen kick),7,0
1,3.0,,Bears,Kevin Butler 46 yard field goal,7,3
2,3.0,,Bears,Jeff Graham 21 yard pass from Steve Walsh (Kevin Butler kick),7,10
3,4.0,,Bears,Lewis Tillman 25 yard rush (Kevin Butler kick),7,17
