,Quarter,Tm,Detail,SFO,GNB
0,1.0,Packers,Johnnie Gray 15 yard interception return (Chester Marcol kick),0,7
1,2.0,49ers,Willie McGee 24 yard pass from Jim Plunkett (Steve Mike-Mayer kick),7,7
2,2.0,49ers,Delvin Williams 59 yard rush,13,7
3,3.0,49ers,Willie McGee 29 yard pass from Jim Plunkett,19,7
4,4.0,49ers,Delvin Williams 1 yard rush (Steve Mike-Mayer kick),26,7
5,4.0,Packers,Cliff Taylor 1 yard rush (Chester Marcol kick),26,14
