,Quarter,Tm,Detail,CRD,DET
0,1.0,Cardinals,Jerry Davis 69 yard punt return (Pat Harder kick),7,0
1,1.0,Lions,John Greene 25 yard pass from Fred Enke (Merv Pregulman kick),7,7
2,2.0,Cardinals,Elmer Angsman 9 yard rush (Pat Harder kick),14,7
3,3.0,Cardinals,Mal Kutner 25 yard pass from Ray Mallouf (Pat Harder kick),21,7
4,4.0,Cardinals,Mal Kutner 45 yard pass from Ray Mallouf (Pat Harder kick),28,7
5,4.0,Lions,Bill Dudley 15 yard pass from Clyde LeForce (Merv Pregulman kick),28,14
