,Quarter,Tm,Detail,DET,DEN
0,1.0,Broncos,Bobby Anderson 12 yard pass from Don Horn (Jim Turner kick),0,7
1,2.0,Broncos,Jim Turner 21 yard field goal,0,10
2,3.0,Lions,Altie Taylor 36 yard rush (Errol Mann kick),7,10
3,3.0,Lions,Earl McCullouch 76 yard pass from Greg Landry (Errol Mann kick),14,10
4,3.0,Broncos,Jim Turner 40 yard field goal,14,13
5,3.0,Lions,Errol Mann 10 yard field goal,17,13
6,4.0,Broncos,Bobby Anderson 5 yard rush (Jim Turner kick),17,20
7,4.0,Lions,Charlie Sanders 5 yard pass from Greg Landry (Errol Mann kick),24,20
