,Quarter,Time,Tm,Detail,NYG,ARI
0,1.0,,Cardinals,Rob Moore 18 yard pass from Boomer Esiason (Kevin Butler kick),0,7
1,1.0,,Cardinals,Cedric Smith 1 yard rush (Kevin Butler kick),0,14
2,2.0,,Giants,Brad Daluiso 25 yard field goal,3,14
3,2.0,,Cardinals,Frank Sanders 2 yard pass from Boomer Esiason (Kevin Butler kick),3,21
4,2.0,,Giants,Brad Daluiso 22 yard field goal,6,21
5,3.0,,Giants,Tyrone Wheatley 4 yard pass from Dave Brown (Brad Daluiso kick),13,21
6,3.0,,Cardinals,LeShon Johnson 1 yard rush (Kevin Butler kick),13,28
7,4.0,,Giants,Tyrone Wheatley 9 yard pass from Dave Brown (Brad Daluiso kick),20,28
8,4.0,,Cardinals,Kevin Butler 18 yard field goal,20,31
9,4.0,,Giants,Brad Daluiso 27 yard field goal,23,31
