,Quarter,Time,Tm,Detail,MIN,GNB
0,1.0,,Packers,Mark Chmura 12 yard pass from Brett Favre (Chris Jacke kick),0,7
1,1.0,,Vikings,Robert Smith 4 yard rush (Fuad Reveiz kick),7,7
2,2.0,,Packers,Charles Jordan 5 yard pass from Brett Favre (Chris Jacke kick),7,14
3,2.0,,Vikings,Jake Reed 2 yard pass from Warren Moon (Fuad Reveiz kick),14,14
4,3.0,,Packers,Dorsey Levens 5 yard pass from Brett Favre (Chris Jacke kick),14,21
5,4.0,,Packers,Edgar Bennett 6 yard pass from Brett Favre (Chris Jacke kick),14,28
6,4.0,,Packers,Sean Jones defensive fumble recovery in end zone (Chris Jacke kick),14,35
7,4.0,,Vikings,Amp Lee 3 yard rush (Fuad Reveiz kick),21,35
8,4.0,,Packers,Chris Jacke 26 yard field goal,21,38
