,Quarter,Tm,Detail,RCH,AKR
0,2.0,Pros,Scotty Bierce unknown yard pass from Red Daum,0,6
1,3.0,Jeffersons,Spin Roy unknown yard pass from Larry Weltman,6,6
2,3.0,Jeffersons,Bob Argus unknown yard rush (Cliff Steele kick),13,6
3,4.0,Pros,Al Nesser blocked punt recovery in end zone,13,13
