,Quarter,Time,Tm,Detail,SEA,ARI
0,1.0,5:03,Seahawks,Jason Myers 33 yard field goal,3,0
1,1.0,4:23,Seahawks,Jadeveon Clowney 27 yard interception return (Jason Myers kick),10,0
2,2.0,13:54,Cardinals,Zane Gonzalez 33 yard field goal,10,3
3,2.0,10:53,Seahawks,Will Dissly 9 yard pass from Russell Wilson (Jason Myers kick),17,3
4,2.0,0:20,Seahawks,Jason Myers 24 yard field goal,20,3
5,4.0,10:27,Cardinals,Kyler Murray 9 yard rush (Zane Gonzalez kick),20,10
6,4.0,2:19,Seahawks,C.J. Prosise 9 yard rush (Jason Myers kick),27,10
